customerid,subscription_start_date,subscription_type,renewal_date,plan_type,contract_type,cancellation_date,cancellation_reason,monthly_charges,cltv,churn_score,churn_flag,customer_name,country,state,gender,dob,escalations,csat_score,complaint_count,churn_risk,tenure_days
1123-NGZRM,17-12-2020 00:00,Organic,17-12-2021 00:00,Basic,Annual,21-07-2021 00:00,Poor streaming quality,8.48,679,42,1,Priya,India,Rajasthan,Female,06-06-1980 00:00,N,60,3,Low,365
1124-SBFNB,10-04-2021 00:00,Paid,10-04-2022 00:00,Standard,Monthly,,,12.29,792,59,0,Sneha,India,Kerala,Female,11-05-1988 00:00,,,0,Medium,365
1125-UEXUF,28-07-2024 00:00,Organic,28-07-2025 00:00,Standard,Monthly,,,17.18,1162,78,0,Akash,India,Maharashtra,Male,21-06-2004 00:00,,,0,High,365
1126-ZDGBF,19-10-2019 00:00,Organic,19-10-2020 00:00,Basic,Annual,27-04-2020 00:00,Poor streaming quality,6.3,560,62,1,Nandini,India,Rajasthan,Female,04-10-1975 00:00,,,0,Medium,366
1127-HGBEU,10-08-2020 00:00,Organic,10-08-2021 00:00,Standard,Annual,,,18.81,603,29,0,Kunal,India,Maharashtra,Male,11-08-1998 00:00,,,0,Low,365
1128-QFWDT,24-09-2022 00:00,Organic,24-09-2023 00:00,Standard,Monthly,,,12.67,442,7,0,Shreya,India,Telangana,Female,27-05-1989 00:00,,,0,Low,365
1129-UFEKS,04-06-2019 00:00,Organic,04-06-2020 00:00,Basic,Monthly,,,6.32,612,53,0,Harsh,India,Uttar Pradesh,Male,03-01-1974 00:00,,,0,Medium,366
1130-ASEFE,18-07-2022 00:00,Organic,18-07-2023 00:00,Standard,Monthly,13-05-2023 00:00,Too expensive,18.12,811,77,1,Tanvi,India,Kerala,Female,20-10-1972 00:00,,,0,High,365
1131-VZUJP,08-10-2021 00:00,Organic,08-10-2022 00:00,Basic,Annual,,,6.01,238,53,0,Nandini,India,Madhya Pradesh,Female,13-06-2002 00:00,,,0,Medium,365
1132-QFDFF,26-06-2023 00:00,Paid,26-06-2024 00:00,Standard,Monthly,,,18.02,676,86,0,Arjun,India,Uttar Pradesh,Male,27-06-1994 00:00,,,0,High,366
1133-DYWVZ,01-08-2023 00:00,Paid,01-08-2024 00:00,Basic,Annual,29-11-2023 00:00,Not enough content,5.99,380,76,1,Pooja,India,Rajasthan,Female,08-01-1975 00:00,N,90,2,High,366
1134-CHDDY,23-12-2021 00:00,Organic,23-12-2022 00:00,Basic,Monthly,,,10.71,537,13,0,Meera,India,Maharashtra,Female,22-04-1992 00:00,,,0,Low,365
1135-UPEHV,21-03-2021 00:00,Paid,21-03-2022 00:00,Premium,Monthly,,,21,1093,66,0,Harsh,India,Maharashtra,Male,11-03-2001 00:00,,,0,Medium,365
1136-GFBGC,04-07-2023 00:00,Paid,04-07-2024 00:00,Premium,Annual,,,22.36,761,32,0,Rohan,India,Nagaland,Male,14-03-1996 00:00,,,0,Low,366
1137-VAAGC,16-10-2023 00:00,Paid,16-10-2024 00:00,Standard,Monthly,,,14.25,827,70,0,Pooja,India,Kerala,Female,03-12-1980 00:00,N,90,1,High,366
1138-YNRHC,27-05-2019 00:00,Organic,27-05-2020 00:00,Standard,Annual,21-09-2019 00:00,Not enough content,11.52,1040,12,1,Avni,India,Telangana,Female,02-03-2001 00:00,,,0,Low,366
1139-CUMXG,09-08-2022 00:00,Organic,09-08-2023 00:00,Basic,Monthly,,,8.72,885,32,0,Pooja,India,Nagaland,Female,06-06-1994 00:00,,,0,Low,365
1140-JNZQP,13-02-2021 00:00,Paid,13-02-2022 00:00,Premium,Annual,,,21.24,1141,84,0,Pallavi,India,Meghalaya,Female,28-11-2004 00:00,,,0,High,365
1141-QCUEZ,11-05-2023 00:00,Organic,11-05-2024 00:00,Premium,Annual,30-12-2023 00:00,Forgot to cancel trial,25.52,888,94,1,Siddharth,India,Maharashtra,Male,22-02-1997 00:00,Y,100,1,High,366
1142-NLKDQ,21-07-2021 00:00,Organic,21-07-2022 00:00,Standard,Annual,01-11-2021 00:00,Forgot to cancel trial,16.13,1083,62,1,Vivek,India,Telangana,Male,28-05-1976 00:00,,,0,Medium,365
1143-AXHFT,24-05-2020 00:00,Organic,24-05-2021 00:00,Standard,Annual,,,11.87,898,63,0,Nandini,India,Maharashtra,Female,09-05-1989 00:00,,,0,Medium,365
1144-FVTUW,01-10-2023 00:00,Organic,01-10-2024 00:00,Basic,Annual,16-11-2023 00:00,Poor streaming quality,5.99,40,14,1,Aniket,India,Tamil Nadu,Male,23-05-1974 00:00,,,0,Low,366
1145-EJMKY,24-05-2020 00:00,Organic,24-05-2021 00:00,Premium,Monthly,11-04-2021 00:00,Too expensive,20.4,1401,78,1,Arjun,India,Nagaland,Male,28-03-1998 00:00,,,0,High,365
1146-SGKAU,23-05-2023 00:00,Organic,23-05-2024 00:00,Premium,Annual,17-12-2023 00:00,Poor streaming quality,21.15,529,91,1,Manish,India,Madhya Pradesh,Male,26-10-1981 00:00,,,0,High,366
1147-SVKCN,21-05-2021 00:00,Paid,21-05-2022 00:00,Basic,Monthly,,,5.99,576,51,0,Mansi,India,Uttar Pradesh,Female,22-05-1988 00:00,,,0,Medium,365
1148-NFBWV,24-07-2022 00:00,Paid,24-07-2023 00:00,Basic,Annual,,,7.92,575,2,0,Meera,India,Gujarat,Female,16-11-1971 00:00,,,0,Low,365
1149-NUXSN,08-02-2024 00:00,Organic,08-02-2025 00:00,Standard,Annual,,,11.12,643,63,0,Varun,India,Karnataka,Male,05-08-1976 00:00,,,0,Medium,366
1150-HWMWQ,28-01-2022 00:00,Organic,28-01-2023 00:00,Premium,Monthly,,,18.92,716,50,0,Manish,India,Kerala,Male,28-02-2002 00:00,,,0,Medium,365
1151-LHTUM,05-02-2022 00:00,Organic,05-02-2023 00:00,Standard,Annual,,,13.85,490,69,0,Nikhil,India,Uttar Pradesh,Male,09-08-1970 00:00,Y,60,1,Medium,365
1152-ESRFS,10-05-2019 00:00,Paid,10-05-2020 00:00,Standard,Monthly,,,15.1,695,46,0,Riya,India,Maharashtra,Female,19-09-1994 00:00,,,0,Low,366
1153-ZMUDX,23-06-2019 00:00,Refferal,23-06-2020 00:00,Standard,Monthly,,,13.75,627,32,0,Aditi,India,Karnataka,Female,24-04-1978 00:00,N,20,4,Low,366
1154-CNQSL,25-04-2023 00:00,Organic,25-04-2024 00:00,Basic,Monthly,,,5.99,449,95,0,Aniket,India,Gujarat,Male,04-05-1977 00:00,N,80,1,High,366
1155-FACCP,09-05-2022 00:00,Organic,09-05-2023 00:00,Standard,Monthly,03-11-2022 00:00,Not enough content,12.45,766,60,1,Neha,India,Goa,Female,24-02-2002 00:00,,,0,Medium,365
1156-TCUBW,13-02-2020 00:00,Refferal,13-02-2021 00:00,Standard,Monthly,,,13.5,833,70,0,Nikhil,India,Nagaland,Male,09-10-1998 00:00,,,0,High,366
1157-XEDTZ,01-10-2021 00:00,Paid,01-10-2022 00:00,Premium,Annual,,,19.82,835,43,0,Vivek,India,Meghalaya,Male,22-10-2000 00:00,,,0,Low,365
1158-XLBRA,21-11-2024 00:00,Paid,21-11-2025 00:00,Standard,Annual,,,8.93,695,16,0,Nikhil,India,Telangana,Male,22-07-1976 00:00,,,0,Low,365
1159-DWWWB,15-02-2020 00:00,Organic,15-02-2021 00:00,Standard,Monthly,,,17.61,835,50,0,Meera,India,Karnataka,Female,17-01-1987 00:00,,,0,Medium,366
1160-TAKAP,27-01-2021 00:00,Paid,27-01-2022 00:00,Basic,Monthly,,,8.67,755,99,0,Pranav,India,Bihar,Male,18-09-1989 00:00,,,0,High,365
1161-TCUFJ,20-05-2019 00:00,Refferal,20-05-2020 00:00,Basic,Monthly,24-09-2019 00:00,Not enough content,7.71,151,28,1,Mansi,India,Telangana,Female,06-01-1976 00:00,,,0,Low,366
1162-YWQUL,06-10-2024 00:00,Organic,06-10-2025 00:00,Standard,Monthly,,,14.44,643,38,0,Manish,India,Maharashtra,Male,14-09-1973 00:00,,,0,Low,365
1163-KZXUG,28-09-2024 00:00,Paid,28-09-2025 00:00,Basic,Annual,,,6.57,744,20,0,Riya,India,Rajasthan,Female,14-03-1978 00:00,,,0,Low,365
1164-SYDTZ,27-12-2024 00:00,Organic,27-12-2025 00:00,Standard,Annual,21-03-2025 00:00,Switched to competitor,15.93,987,47,1,Aniket,India,Telangana,Male,04-12-1990 00:00,N,30,1,Low,365
1165-SDBUE,26-09-2020 00:00,Paid,26-09-2021 00:00,Premium,Annual,09-05-2021 00:00,Poor streaming quality,21.16,1156,37,1,Yash,India,Tamil Nadu,Male,28-10-1976 00:00,,,0,Low,365
1166-SZBTE,06-08-2021 00:00,Refferal,06-08-2022 00:00,Premium,Monthly,,,22.18,678,38,0,Isha,India,Madhya Pradesh,Female,18-10-1993 00:00,N,100,1,Low,365
1167-AMYAY,17-06-2024 00:00,Organic,17-06-2025 00:00,Basic,Monthly,,,6.06,633,18,0,Pranav,India,Tamil Nadu,Male,26-08-1989 00:00,,,0,Low,365
1168-CFFHJ,20-10-2024 00:00,Refferal,20-10-2025 00:00,Basic,Monthly,,,12.19,875,17,0,Pranav,India,Telangana,Male,22-02-1970 00:00,,,0,Low,365
1169-GTANU,01-09-2023 00:00,Paid,01-09-2024 00:00,Standard,Monthly,05-05-2024 00:00,Switched to competitor,12.56,459,47,1,Sakshi,India,Maharashtra,Female,17-06-1982 00:00,,,0,Low,366
1170-XTLVB,03-09-2021 00:00,Organic,03-09-2022 00:00,Standard,Monthly,,,12.09,560,57,0,Aarav,India,Rajasthan,Male,03-01-1991 00:00,,,0,Medium,365
1171-ASNRQ,13-07-2022 00:00,Organic,13-07-2023 00:00,Premium,Monthly,28-02-2023 00:00,Forgot to cancel trial,21.59,772,60,1,Aditya,India,Nagaland,Male,10-02-2002 00:00,,,0,Medium,365
1172-HXZWR,24-04-2021 00:00,Organic,24-04-2022 00:00,Standard,Annual,,,11.99,922,34,0,Varun,India,Kerala,Male,02-02-1979 00:00,,,0,Low,365
1173-EQGCS,19-12-2020 00:00,Organic,19-12-2021 00:00,Standard,Monthly,,,15.09,590,33,0,Varun,India,Rajasthan,Male,22-05-1974 00:00,,,0,Low,365
1174-XHLQH,24-12-2020 00:00,Organic,24-12-2021 00:00,Standard,Monthly,,,15.64,788,17,0,Harsh,India,Telangana,Male,06-07-1990 00:00,,,0,Low,365
1175-LUMCR,21-09-2019 00:00,Organic,21-09-2020 00:00,Basic,Annual,,,6.53,438,55,0,Madhav,India,Kerala,Male,07-09-1978 00:00,,,0,Medium,366
1176-PZMUJ,17-06-2022 00:00,Refferal,17-06-2023 00:00,Basic,Monthly,,,5.99,521,12,0,Harsh,India,Gujarat,Male,15-03-1988 00:00,,,0,Low,365
1177-DDPPW,08-06-2021 00:00,Refferal,08-06-2022 00:00,Basic,Monthly,,,8.56,664,29,0,Manish,India,Madhya Pradesh,Male,25-04-1972 00:00,,,0,Low,365
1178-BZHSN,13-05-2023 00:00,Organic,13-05-2024 00:00,Premium,Monthly,,,17.33,521,60,0,Mira,India,Uttar Pradesh,Female,21-07-1981 00:00,,,0,Medium,366
1179-XAXLF,04-12-2021 00:00,Organic,04-12-2022 00:00,Standard,Monthly,01-08-2022 00:00,Switched to competitor,12.56,425,57,1,Ananya,India,Maharashtra,Female,20-06-1980 00:00,N,20,1,Medium,365
1180-DDYNK,20-07-2020 00:00,Paid,20-07-2021 00:00,Basic,Annual,,,7.14,413,68,0,Raghav,India,Goa,Male,20-08-1983 00:00,,,0,Medium,365
1181-SYQBK,20-08-2020 00:00,Paid,20-08-2021 00:00,Standard,Annual,,,15.83,677,25,0,Vivek,India,Maharashtra,Male,22-09-2003 00:00,,,0,Low,365
1182-XNAYS,19-06-2022 00:00,Refferal,19-06-2023 00:00,Premium,Annual,,,24.16,827,2,0,Pallavi,India,Meghalaya,Female,17-12-1972 00:00,,,0,Low,365
1183-UXCQP,07-11-2022 00:00,Organic,07-11-2023 00:00,Standard,Monthly,02-10-2023 00:00,Not enough content,15.26,715,51,1,Ananya,India,Maharashtra,Female,17-10-1970 00:00,,,0,Medium,365
1184-PQZKE,28-03-2024 00:00,Organic,28-03-2025 00:00,Premium,Monthly,,,19.66,1127,63,0,Pooja,India,Nagaland,Female,10-05-2000 00:00,,,0,Medium,365
1185-NUVQS,09-02-2019 00:00,Organic,09-02-2020 00:00,Basic,Monthly,,,10.56,831,55,0,Rahul,India,Meghalaya,Male,27-02-1970 00:00,,,0,Medium,365
1186-NTQYV,22-03-2023 00:00,Organic,22-03-2024 00:00,Basic,Monthly,09-09-2023 00:00,Poor streaming quality,7.08,403,38,1,Tanvi,India,Maharashtra,Female,07-05-2003 00:00,,,0,Low,366
1187-QNTBC,19-07-2022 00:00,Paid,19-07-2023 00:00,Basic,Monthly,,,8.86,619,43,0,Mansi,India,Madhya Pradesh,Female,27-06-1992 00:00,,,0,Low,365
1188-CNGNV,16-01-2023 00:00,Paid,16-01-2024 00:00,Basic,Monthly,,,12.56,685,73,0,Tanvi,India,Bihar,Female,25-04-2000 00:00,,,0,High,365
1189-HYNAV,19-04-2021 00:00,Paid,19-04-2022 00:00,Basic,Annual,,,10.63,252,35,0,Raghav,India,Maharashtra,Male,18-02-1991 00:00,,,0,Low,365
1190-TWEEF,20-06-2022 00:00,Refferal,20-06-2023 00:00,Basic,Annual,,,5.99,376,2,0,Neha,India,West Bengal,Female,22-02-1977 00:00,,,0,Low,365
1191-UNKUD,17-12-2019 00:00,Organic,17-12-2020 00:00,Standard,Annual,08-11-2020 00:00,Switched to competitor,14.03,706,86,1,Sakshi,India,Madhya Pradesh,Female,12-09-1972 00:00,,,0,High,366
1192-GPFMQ,06-08-2021 00:00,Paid,06-08-2022 00:00,Standard,Annual,,,13.51,397,70,0,Pooja,India,Rajasthan,Female,23-07-1983 00:00,,,0,High,365
1193-PWEVT,09-05-2022 00:00,Organic,09-05-2023 00:00,Standard,Monthly,,,14.51,278,73,0,Aditi,India,Karnataka,Female,28-03-2001 00:00,,,0,High,365
1194-MRLJJ,11-06-2021 00:00,Paid,11-06-2022 00:00,Standard,Monthly,,,16.51,662,66,0,Nandini,India,Maharashtra,Female,28-06-1977 00:00,,,0,Medium,365
1195-RDEVJ,13-11-2023 00:00,Refferal,13-11-2024 00:00,Basic,Monthly,08-10-2024 00:00,Forgot to cancel trial,9.38,745,99,1,Sneha,India,Maharashtra,Female,11-04-1991 00:00,,,0,High,366
1196-EATRY,25-09-2022 00:00,Paid,25-09-2023 00:00,Premium,Monthly,12-05-2023 00:00,Not enough content,21.54,618,54,1,Siddharth,India,Maharashtra,Male,03-02-1976 00:00,,,0,Medium,365
1197-LDNEA,06-09-2024 00:00,Paid,06-09-2025 00:00,Standard,Monthly,,,15.82,757,39,0,Meera,India,Kerala,Female,09-09-1999 00:00,,,0,Low,365
1198-NXMFC,16-05-2021 00:00,Paid,16-05-2022 00:00,Standard,Annual,,,12.94,670,62,0,Nandini,India,Meghalaya,Female,01-05-1979 00:00,,,0,Medium,365
1199-VQVPE,17-04-2024 00:00,Paid,17-04-2025 00:00,Premium,Annual,,,23.27,799,45,0,Shreya,India,Karnataka,Female,08-07-1994 00:00,,,0,Low,365
1200-VKWEG,06-01-2023 00:00,Organic,06-01-2024 00:00,Premium,Monthly,,,18.84,655,51,0,Kritika,India,Rajasthan,Female,11-04-2001 00:00,,,0,Medium,365
1201-AFLUM,18-02-2022 00:00,Refferal,18-02-2023 00:00,Standard,Monthly,,,15.66,1081,34,0,Tanvi,India,Gujarat,Female,03-06-1972 00:00,,,0,Low,365
1202-UFULT,11-05-2024 00:00,Paid,11-05-2025 00:00,Basic,Annual,,,10.97,843,54,0,Siddharth,India,Rajasthan,Male,22-09-1976 00:00,,,0,Medium,365
1203-HJBSZ,19-01-2019 00:00,Paid,19-01-2020 00:00,Premium,Monthly,,,19.29,321,36,0,Akash,India,Delhi,Male,19-05-1980 00:00,,,0,Low,365
1204-CQYZR,25-11-2023 00:00,Paid,25-11-2024 00:00,Basic,Annual,05-07-2024 00:00,Not enough content,11.28,704,60,1,Yash,India,Uttar Pradesh,Male,05-02-2004 00:00,,,0,Medium,366
1205-ASPPM,15-03-2023 00:00,Organic,15-03-2024 00:00,Basic,Monthly,29-12-2023 00:00,Poor streaming quality,8.61,1059,24,1,Varun,India,Delhi,Male,28-05-1999 00:00,,,0,Low,366
1206-QJQHB,11-11-2022 00:00,Organic,11-11-2023 00:00,Basic,Monthly,,,8.27,587,52,0,Ananya,India,Telangana,Female,05-09-2001 00:00,,,0,Medium,365
1207-EMCPW,16-11-2020 00:00,Organic,16-11-2021 00:00,Premium,Annual,,,22.05,727,59,0,Pallavi,India,Uttar Pradesh,Female,12-01-1986 00:00,,,0,Medium,365
1208-XVVBQ,07-07-2023 00:00,Paid,07-07-2024 00:00,Basic,Annual,,,9.03,829,88,0,Aditya,India,Tamil Nadu,Male,17-04-1974 00:00,,,0,High,366
1209-TUPSS,15-10-2023 00:00,Paid,15-10-2024 00:00,Premium,Annual,,,24.5,1110,45,0,Kavya,India,Maharashtra,Female,13-09-1981 00:00,,,0,Low,366
1210-RVHFP,10-01-2024 00:00,Refferal,10-01-2025 00:00,Standard,Monthly,11-07-2024 00:00,Too expensive,13.71,791,57,1,Mansi,India,Madhya Pradesh,Female,15-06-1986 00:00,,,0,Medium,366
1211-UYVYN,26-05-2020 00:00,Paid,26-05-2021 00:00,Basic,Monthly,03-08-2020 00:00,Not enough content,5.99,504,88,1,Vivek,India,Maharashtra,Male,05-03-1992 00:00,Y,25,2,High,365
1212-BBUJV,17-05-2019 00:00,Organic,17-05-2020 00:00,Basic,Monthly,,,7.05,155,26,0,Kavya,India,Kerala,Female,21-12-1984 00:00,N,70,2,Low,366
1213-UDJMT,16-04-2023 00:00,Paid,16-04-2024 00:00,Standard,Monthly,,,15.8,553,60,0,Mira,India,Maharashtra,Female,25-07-2002 00:00,,,0,Medium,366
1214-GLSPC,20-06-2020 00:00,Paid,20-06-2021 00:00,Premium,Annual,,,18.14,1375,49,0,Diya,India,Nagaland,Female,12-06-1982 00:00,,,0,Low,365
1215-SDTCT,11-01-2022 00:00,Organic,11-01-2023 00:00,Basic,Monthly,,,7.42,425,15,0,Pranav,India,Madhya Pradesh,Male,11-01-1988 00:00,,,0,Low,365
1216-TDSAP,01-11-2022 00:00,Paid,01-11-2023 00:00,Basic,Annual,,,7.39,481,2,0,Madhav,India,Maharashtra,Male,26-04-1988 00:00,,,0,Low,365
1217-HXKZN,01-12-2023 00:00,Organic,01-12-2024 00:00,Basic,Annual,,,7.48,912,58,0,Nikhil,India,Rajasthan,Male,06-02-2004 00:00,N,40,2,Medium,366
1218-XVAPG,19-04-2022 00:00,Refferal,19-04-2023 00:00,Basic,Annual,,,10.47,428,35,0,Nikhil,India,Madhya Pradesh,Male,24-02-1978 00:00,,,0,Low,365
1219-DNVWH,24-09-2023 00:00,Refferal,24-09-2024 00:00,Basic,Monthly,,,13.65,821,51,0,Akash,India,Bihar,Male,19-11-1979 00:00,,,0,Medium,366
1220-KKLYX,08-04-2023 00:00,Paid,08-04-2024 00:00,Standard,Monthly,,,13.94,693,63,0,Neha,India,West Bengal,Female,06-03-1976 00:00,,,0,Medium,366
1221-TJWMD,15-03-2019 00:00,Organic,15-03-2020 00:00,Premium,Monthly,,,19.73,736,49,0,Arjun,India,Maharashtra,Male,14-05-1970 00:00,,,0,Low,366
1222-BTKHQ,18-01-2024 00:00,Refferal,18-01-2025 00:00,Standard,Annual,29-09-2024 00:00,Poor streaming quality,12.79,850,31,1,Aniket,India,Maharashtra,Male,08-01-1999 00:00,,,0,Low,366
1223-GDHYS,18-12-2023 00:00,Organic,18-12-2024 00:00,Basic,Monthly,14-11-2024 00:00,Too expensive,7.43,131,84,1,Saurabh,India,Tamil Nadu,Male,24-02-1998 00:00,Y,30,1,High,366
1224-TCSRC,28-10-2021 00:00,Refferal,28-10-2022 00:00,Standard,Monthly,23-12-2021 00:00,Poor streaming quality,16.39,324,84,1,Pallavi,India,Uttar Pradesh,Female,18-07-1980 00:00,,,0,High,365
1225-ZGEXZ,08-08-2023 00:00,Organic,08-08-2024 00:00,Basic,Annual,,,7.24,286,33,0,Pranav,India,West Bengal,Male,16-08-1970 00:00,N,20,3,Low,366
1226-PQHCC,11-05-2019 00:00,Organic,11-05-2020 00:00,Standard,Monthly,,,12.28,1002,30,0,Rahul,India,Gujarat,Male,24-08-1981 00:00,,,0,Low,366
1227-DSGNN,09-06-2023 00:00,Organic,09-06-2024 00:00,Standard,Annual,22-04-2024 00:00,Poor streaming quality,16.05,921,77,1,Pranav,India,Maharashtra,Male,16-02-2003 00:00,,,0,High,366
1228-MEQTZ,12-06-2019 00:00,Organic,12-06-2020 00:00,Standard,Annual,03-12-2019 00:00,Not enough content,11.51,834,35,1,Vivek,India,Maharashtra,Male,28-12-1977 00:00,,,0,Low,366
1229-NHASJ,21-03-2022 00:00,Refferal,21-03-2023 00:00,Standard,Annual,,,11.3,702,64,0,Rahul,India,Karnataka,Male,16-11-1991 00:00,,,0,Medium,365
1230-BNPSP,21-07-2021 00:00,Paid,21-07-2022 00:00,Standard,Monthly,18-10-2021 00:00,Not enough content,13.17,856,75,1,Siddharth,India,Uttar Pradesh,Male,03-06-1991 00:00,N,40,1,High,365
1231-LYFHC,16-06-2020 00:00,Paid,16-06-2021 00:00,Standard,Monthly,04-09-2020 00:00,Forgot to cancel trial,13.2,571,85,1,Siddharth,India,Madhya Pradesh,Male,01-09-1998 00:00,N,90,2,High,365
1232-WWHXC,18-05-2021 00:00,Organic,18-05-2022 00:00,Basic,Monthly,04-11-2021 00:00,Switched to competitor,9.35,389,63,1,Aditi,India,Uttar Pradesh,Female,07-11-1989 00:00,,,0,Medium,365
1233-NEJHD,01-03-2019 00:00,Organic,01-03-2020 00:00,Standard,Annual,04-11-2019 00:00,Poor streaming quality,14.71,766,19,1,Avni,India,Karnataka,Female,20-05-1974 00:00,,,0,Low,366
1234-QWSQH,22-05-2022 00:00,Organic,22-05-2023 00:00,Standard,Annual,,,13.58,751,35,0,Varun,India,Maharashtra,Male,05-10-1999 00:00,,,0,Low,365
1235-GJEYH,25-05-2020 00:00,Paid,25-05-2021 00:00,Basic,Monthly,,,6.44,254,20,0,Tanvi,India,Rajasthan,Female,04-08-1974 00:00,,,0,Low,365
1236-PBHMQ,14-10-2024 00:00,Paid,14-10-2025 00:00,Premium,Monthly,,,22.32,1109,35,0,Pranav,India,Karnataka,Male,13-08-1980 00:00,,,0,Low,365
1237-BYPMQ,25-10-2024 00:00,Paid,25-10-2025 00:00,Premium,Monthly,15-03-2025 00:00,Too expensive,16.41,1021,99,1,Meera,India,Telangana,Female,10-03-1998 00:00,,,0,High,365
1238-RADDN,12-12-2022 00:00,Paid,12-12-2023 00:00,Premium,Annual,,,20.78,1212,44,0,Kritika,India,Uttar Pradesh,Female,22-04-1982 00:00,,,0,Low,365
1239-BXZAP,13-07-2024 00:00,Paid,13-07-2025 00:00,Standard,Monthly,,,13.91,608,84,0,Kavya,India,Kerala,Female,14-04-1971 00:00,,,0,High,365
1240-YWDZS,21-03-2019 00:00,Refferal,21-03-2020 00:00,Premium,Annual,,,21.32,1205,45,0,Aarav,India,Maharashtra,Male,24-03-1971 00:00,,,0,Low,366
1241-LLVKF,12-10-2023 00:00,Paid,12-10-2024 00:00,Basic,Monthly,,,8.67,338,13,0,Kritika,India,Maharashtra,Female,08-12-2001 00:00,,,0,Low,366
1242-BTNWU,18-11-2024 00:00,Organic,18-11-2025 00:00,Premium,Monthly,23-12-2024 00:00,Poor streaming quality,22.63,915,65,1,Tanvi,India,Telangana,Female,03-10-2003 00:00,,,0,Medium,365
1243-PHJZH,19-08-2024 00:00,Refferal,19-08-2025 00:00,Basic,Monthly,,,8.03,474,57,0,Rohan,India,Gujarat,Male,26-12-1989 00:00,,,0,Medium,365
1244-BNWGD,12-08-2024 00:00,Paid,12-08-2025 00:00,Premium,Monthly,,,19.28,875,69,0,Mira,India,Kerala,Female,04-12-1970 00:00,,,0,Medium,365
1245-JCDYD,09-11-2019 00:00,Organic,09-11-2020 00:00,Premium,Monthly,,,21.89,1012,22,0,Diya,India,West Bengal,Female,15-11-1985 00:00,,,0,Low,366
1246-UNKSM,02-11-2023 00:00,Organic,02-11-2024 00:00,Basic,Monthly,,,9.03,778,55,0,Aniket,India,Kerala,Male,26-05-1970 00:00,,,0,Medium,366
1247-GGVGQ,27-01-2024 00:00,Paid,27-01-2025 00:00,Basic,Monthly,,,11.65,266,76,0,Isha,India,Gujarat,Female,11-09-1982 00:00,,,0,High,366
1248-GAQBQ,19-11-2024 00:00,Organic,19-11-2025 00:00,Premium,Monthly,18-05-2025 00:00,Poor streaming quality,18.17,937,47,1,Pranav,India,Uttar Pradesh,Male,28-02-1977 00:00,N,60,1,Low,365
1249-DBUKH,06-07-2023 00:00,Paid,06-07-2024 00:00,Standard,Monthly,,,15.13,839,42,0,Madhav,India,Goa,Male,15-03-1986 00:00,,,0,Low,366
1250-LGABT,23-03-2021 00:00,Organic,23-03-2022 00:00,Basic,Monthly,,,6.33,288,35,0,Aditi,India,Madhya Pradesh,Female,21-11-1979 00:00,,,0,Low,365
1251-KTVBF,03-11-2024 00:00,Organic,03-11-2025 00:00,Standard,Annual,,,11.96,577,16,0,Sakshi,India,Maharashtra,Female,11-06-2004 00:00,,,0,Low,365
1252-EPZRH,01-04-2019 00:00,Paid,01-04-2020 00:00,Standard,Annual,01-02-2020 00:00,Not enough content,16.31,1263,29,1,Kavya,India,Uttar Pradesh,Female,03-08-1992 00:00,,,0,Low,366
1253-VZAJJ,24-01-2019 00:00,Organic,24-01-2020 00:00,Basic,Annual,,,9.08,294,46,0,Omkar,India,Maharashtra,Male,22-08-2003 00:00,,,0,Low,365
1254-DEBHV,11-07-2020 00:00,Paid,11-07-2021 00:00,Premium,Annual,,,22.53,1319,43,0,Kritika,India,Maharashtra,Female,04-02-1974 00:00,,,0,Low,365
1255-DWVUQ,02-10-2020 00:00,Paid,02-10-2021 00:00,Basic,Annual,,,13.62,776,42,0,Sneha,India,Maharashtra,Female,06-07-1979 00:00,,,0,Low,365
1256-BAYSQ,14-08-2023 00:00,Paid,14-08-2024 00:00,Basic,Monthly,,,6.44,854,52,0,Diya,India,Gujarat,Female,05-12-2000 00:00,,,0,Medium,366
1257-CVHLP,22-11-2022 00:00,Organic,22-11-2023 00:00,Basic,Monthly,21-08-2023 00:00,Poor streaming quality,6.61,562,91,1,Vivek,India,Bihar,Male,12-10-1976 00:00,,,0,High,365
1258-BRGLJ,03-02-2023 00:00,Paid,03-02-2024 00:00,Premium,Annual,14-06-2023 00:00,Not enough content,19.75,908,71,1,Priya,India,Maharashtra,Female,06-09-1973 00:00,N,40,1,High,365
1259-XBQBL,11-04-2021 00:00,Organic,11-04-2022 00:00,Basic,Annual,,,9.36,549,5,0,Pranav,India,Rajasthan,Male,05-06-1994 00:00,,,0,Low,365
1260-EJXQU,27-08-2023 00:00,Organic,27-08-2024 00:00,Standard,Monthly,,,13.45,713,54,0,Harsh,India,Bihar,Male,14-02-1984 00:00,,,0,Medium,366
1261-FYYXX,16-07-2023 00:00,Organic,16-07-2024 00:00,Premium,Annual,,,21.38,742,23,0,Priya,India,Maharashtra,Female,25-12-2000 00:00,,,0,Low,366
1262-SKFJF,28-03-2022 00:00,Refferal,28-03-2023 00:00,Standard,Monthly,,,15.33,1048,68,0,Aarav,India,Rajasthan,Male,23-03-1989 00:00,Y,60,1,Medium,365
1263-ALGYP,12-07-2019 00:00,Organic,12-07-2020 00:00,Standard,Monthly,,,15.82,859,66,0,Aditya,India,Uttar Pradesh,Male,02-12-1991 00:00,,,0,Medium,366
